,Wavelength,PACS_160,PACS_100,dnu
12960,13.48620033,0.0,1e-08,-7546017286.46
12961,13.49069881,0.0,1e-08,-7546017286.46
12962,13.49530125,0.0,1e-08,-7546017286.46
12963,13.49979973,0.0,1e-08,-7546017286.46
12964,13.50440025,0.0,1e-08,-7546017286.46
12965,13.50889874,0.0,1e-08,-7546017286.46
12966,13.51350117,0.0,1e-08,-7546017286.46
12967,13.51809883,0.0,1e-08,-7546017286.46
12968,13.52270126,0.0,1e-08,-7546017286.46
12969,13.52719975,0.0,1e-08,-7546017286.46
12970,13.53180027,0.0,1e-08,-7546017286.46
12971,13.53639984,0.0,1e-08,-7546017286.46
12972,13.54100037,0.0,1e-08,-7546017286.46
12973,13.54549885,0.0,1e-08,-7546017286.46
12974,13.55010033,0.0,1e-08,-7546017286.46
12975,13.55469894,0.0,1e-08,-7546017286.46
12976,13.55930042,0.0,1e-08,-7546017286.46
12977,13.56389904,0.0,1e-08,-7546017286.46
12978,13.56849957,0.0,1e-08,-7546017286.46
12979,13.57310104,0.0,1e-08,-7546017286.46
12980,13.57769966,0.0,1e-08,-7546017286.46
12981,13.58230114,0.0,1e-08,-7546017286.46
12982,13.58699989,0.0,1e-08,-7546017286.46
12983,13.59160042,0.0,1e-08,-7546017286.46
12984,13.59619999,0.0,2e-08,-7546017286.46
12985,13.60079956,0.0,2e-08,-7546017286.46
12986,13.60540009,0.0,2e-08,-7546017286.46
12987,13.61009884,0.0,2e-08,-7546017286.46
12988,13.61470127,0.0,2e-08,-7546017286.46
12989,13.61929893,0.0,2e-08,-7546017286.46
12990,13.6239996,0.0,2e-08,-7546017286.46
12991,13.62860012,0.0,2e-08,-7546017286.46
12992,13.63329887,0.0,2e-08,-7546017286.46
12993,13.63790035,0.0,2e-08,-7546017286.46
12994,13.64260006,0.0,2e-08,-7546017286.46
12995,13.64719963,0.0,2e-08,-7546017286.46
12996,13.65190125,0.0,2e-08,-7546017286.46
12997,13.65649891,0.0,3e-08,-7546017286.46
12998,13.66119957,0.0,3e-08,-7546017286.46
12999,13.66590118,0.0,3e-08,-7546017286.46
13000,13.67049885,0.0,3e-08,-7546017286.46
13001,13.67520046,0.0,3e-08,-7546017286.46
13002,13.67990112,0.0,3e-08,-7546017286.46
13003,13.68459988,0.0,3e-08,-7546017286.46
13004,13.68929958,0.0,3e-08,-7546017286.46
13005,13.69390106,0.0,3e-08,-7546017286.46
13006,13.69859982,0.0,3e-08,-7546017286.46
13007,13.70330048,0.0,3e-08,-7546017286.46
13008,13.70800018,0.0,3e-08,-7546017286.46
13009,13.71269894,0.0,3e-08,-7546017286.46
13010,13.7173996,0.0,3e-08,-7546017286.46
13011,13.72210121,0.0,4e-08,-7546017286.46
13012,13.72679996,0.0,4e-08,-7546017286.46
13013,13.73149967,0.0,4e-08,-7546017286.46
13014,13.73630047,0.0,4e-08,-7546017286.46
13015,13.74100018,0.0,4e-08,-7546017286.46
13016,13.74569893,0.0,4e-08,-7546017286.46
13017,13.75039959,0.0,4e-08,-7546017286.46
13018,13.75520039,0.0,4e-08,-7546017286.46
13019,13.75990105,0.0,4e-08,-7546017286.46
13020,13.7645998,0.0,4e-08,-7546017286.46
13021,13.76939964,0.0,4e-08,-7546017286.46
13022,13.77410126,0.0,4e-08,-7546017286.46
13023,13.77880001,0.0,4e-08,-7546017286.46
13024,13.78359985,0.0,4e-08,-7546017286.46
13025,13.78829956,0.0,4e-08,-7546017286.46
13026,13.79310036,0.0,4e-08,-7546017286.46
13027,13.79790115,0.0,4e-08,-7546017286.46
13028,13.80259991,0.0,4e-08,-7546017286.46
13029,13.80739975,0.0,5e-08,-7546017286.46
13030,13.81219959,0.0,5e-08,-7546017286.46
